goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,rating,player,team,id,team_id
0,1,0,30,81.08,17,54.84,2,66.67,21,0,83.3,47,69.12,958,7,2,1,11,0,0,0,15,3,0,0,0,0,46,0,369,3,4,44.44,58,55.77,8,70,3,0,0,0,0,0.0,0,0,,0,0,0,7.03,Alfonso Parot,Deportes Limache,33829,331131
0,1,0,1,33.33,5,100.0,0,0.0,0,0,65.8,6,75.0,990,2,1,0,11,39,24,15,8,2,6,5,9,5,5,0,127,0,0,0.0,34,34.69,0,17,1,0,0,0,0,0.0,0,0,,0,0,0,7.03,Ignacio González,Everton de Viña del Mar,790001,5032
3,4,0,36,47.37,10,55.56,10,47.62,16,1,74.33,46,48.94,779,10,13,6,12,0,0,0,7,1,0,0,0,0,78,1,223,13,16,28.57,22,46.81,4,12,11,0,8,4,2,37.5,1,2,,0,0,0,7.03,Lucas Soto,Everton de Viña del Mar,1119679,5032
0,5,0,44,59.46,1,33.33,1,20.0,31,0,87.05,45,58.44,660,12,10,2,11,0,0,0,8,2,0,0,0,0,73,0,336,4,2,40.0,48,72.73,15,18,15,0,3,0,0,0.0,0,0,,0,1,0,7.02,Nelson Sepúlveda,Deportes Concepción,589548,3160
3,2,0,31,44.93,21,58.33,0,0.0,29,0,84.03,52,49.52,933,2,15,6,12,0,0,0,12,0,0,0,0,0,91,0,384,3,1,25.0,32,50.79,14,36,17,0,17,8,4,17.65,0,0,,0,0,0,7.02,Alejandro Camargo,Coquimbo Unido,805408,3165
7,1,0,35,43.21,48,51.61,7,31.82,20,1,60.25,83,47.7,1322,9,11,10,15,0,0,0,18,4,0,0,0,0,75,1,238,6,2,28.57,28,57.14,3,18,11,2,40,15,10,17.5,1,10,,0,0,0,7.01,Sebastián Sáez,Unión La Calera,936901,48242
0,0,1,27,58.7,1,33.33,12,80.0,6,0,83.45,28,57.14,518,9,4,7,8,0,0,0,7,1,0,0,0,0,89,1,232,11,4,22.22,20,58.82,5,3,5,0,9,2,2,0.0,0,0,,0,0,0,7.01,Dieter Villalpando,Everton de Viña del Mar,800239,5032
1,4,0,51,52.04,11,45.83,4,20.0,27,0,85.42,62,50.82,939,20,12,10,12,0,0,0,9,0,0,0,0,0,105,1,375,9,3,33.33,21,60.0,11,11,9,1,8,3,1,12.5,0,0,,0,0,1,7.01,Sebastián Galani,Coquimbo Unido,974009,3165
2,1,2,30,66.67,17,54.84,7,70.0,17,1,81.78,47,61.84,1050,6,5,2,13,0,0,0,11,2,0,0,0,0,83,1,377,3,3,15.0,43,51.19,17,66,5,1,8,5,0,25.0,0,0,,0,0,0,7.0,Yerko González,Deportes Limache,980882,331131
1,3,0,50,52.08,10,55.56,12,50.0,25,1,79.26,60,52.63,828,13,11,10,14,0,0,0,10,3,0,0,0,0,92,2,256,27,23,37.7,12,60.0,9,7,15,3,21,5,6,4.76,0,1,,0,0,0,7.0,Matías Plaza,Ñublense,986676,7029
